user_id,product_id,product_name,rating
user1,1,Product A,4.5
user1,2,Product B,3.0
user1,3,Product C,2.5
user1,4,Product D,3.0
user1,5,Product E,4.0
user1,6,Product F,5.0
user1,7,Product G,3.5
user1,8,Product H,4.0
user1,9,Product I,2.0
user2,1,Product A,3.0
user2,8,Product H,4.0
user2,10,Product J,3.5
user2,11,Product K,2.5
user2,1,Product A,3.0
user2,12,Product L,4.5
user2,13,Product M,3.0
user3,14,Product N,4.0
user3,9,Product I,2.5
user3,16,Product P,2.0
user3,17,Product Q,3.0
user3,18,Product R,4.5
user3,19,Product S,2.5
user3,20,Product T,3.5
user4,21,Product U,4.0
user4,22,Product V,2.5
user4,23,Product W,3.0
user4,24,Product X,4.5
user4,25,Product Y,3.0
user4,26,Product Z,2.0
user4,27,Product AA,3.0
user4,8,Product H,3.5
user5,28,Product BB,3.5
user5,29,Product CC,2.0
user5,30,Product DD,4.5
user5,31,Product EE,3.0
user5,32,Product FF,2.5
user5,33,Product GG,4.0
user5,34,Product HH,5.0
user5,3,Product C,2.5
user6,35,Product II,4.0
user6,36,Product JJ,3.0
user6,6,Product F,2.5
user6,38,Product LL,3.5
user6,39,Product MM,4.5
user6,40,Product NN,3.0
user6,41,Product OO,2.0
user6,9,Product I,2.0
user7,42,Product PP,3.5
user7,1,Product A,4.0
user7,44,Product RR,2.0
user7,45,Product SS,3.0
user7,2,Product B,3.5
user7,6,Product F,2.5
user7,48,Product VV,3.5
user7,9,Product I,2.5
user8,1,Product A,3.0
user8,50,Product XX,2.5
user8,35,Product II,4.0
user8,9,Product I,3.5
user8,25,Product Y,2.0
user8,3,Product C,4.5
user8,18,Product R,3.0
user9,20,Product T,2.5
user9,29,Product CC,3.0
user9,13,Product M,4.0
user9,36,Product JJ,2.0
user9,10,Product J,3.5
user9,8,Product H,4.5
user9,6,Product F,3.0
user10,21,Product U,3.0
user10,15,Product O,4.5
user10,17,Product Q,2.0
user10,40,Product NN,3.0
user10,2,Product B,4.5
user10,23,Product W,2.5
user10,22,Product V,3.5
user11,5,Product E,4.0
user11,12,Product L,3.5
user11,37,Product KK,2.0
user11,33,Product GG,3.0
user11,28,Product BB,4.5
user11,14,Product N,2.5
user11,39,Product MM,3.5
user12,31,Product EE,4.0
user12,30,Product DD,3.0
user12,26,Product Z,2.5
user12,48,Product VV,3.5
user12,32,Product FF,4.5
user12,11,Product K,3.0
user12,27,Product AA,2.0
user13,16,Product P,3.0
user13,4,Product D,4.5
user13,7,Product G,2.0
user13,38,Product LL,3.0
user13,34,Product HH,4.5
user13,49,Product WW,2.5
user13,24,Product X,3.5
user14,19,Product S,3.0
user14,27,Product AA,4.5
user14,37,Product KK,2.0
user14,45,Product SS,3.0
user14,12,Product L,4.5
user14,33,Product GG,2.5
user14,6,Product F,3.5
user15,38,Product LL,3.5
user15,48,Product VV,2.0
user15,16,Product P,4.5
user15,22,Product V,3.0
user15,23,Product W,2.5
user15,28,Product BB,4.0
user15,11,Product K,3.5
user16,31,Product EE,2.0
user16,36,Product JJ,3.0
user16,20,Product T,4.5
user16,41,Product OO,3.0
user16,13,Product M,2.5
user16,7,Product G,4.0
user16,10,Product J,3.5
user17,5,Product E,2.5
user17,46,Product TT,3.0
user17,17,Product Q,4.0
user17,30,Product DD,3.5
user17,25,Product Y,2.0
user17,21,Product U,3.0
user17,26,Product Z,4.5
user18,4,Product D,3.5
user18,44,Product RR,2.0
user18,39,Product MM,4.5
user18,32,Product FF,3.0
